Date,District,Confirmed,Recovered,Deceased
01-Jun-20,Alappuzha,49,8,1
01-Jun-20,Ernakulam,52,26,1
01-Jun-20,Idukki,34,25,0
01-Jun-20,Kannur,235,123,2
01-Jun-20,Kasaragod,291,196,0
01-Jun-20,Kollam,65,23,0
01-Jun-20,Kottayam,44,27,0
01-Jun-20,Kozhikode,66,32,1
01-Jun-20,Malappuram,114,49,1
01-Jun-20,Palakkad,157,18,0
01-Jun-20,Pathanamthitta,52,20,1
01-Jun-20,Thiruvananthapuram,64,21,2
01-Jun-20,Thrissur,73,19,1
01-Jun-20,Wayanad,31,21,1
02-Jun-20,Alappuzha,59,8,1
02-Jun-20,Ernakulam,55,26,1
02-Jun-20,Idukki,34,25,0
02-Jun-20,Kannur,240,124,2
02-Jun-20,Kasaragod,300,203,0
02-Jun-20,Kollam,73,23,0
02-Jun-20,Kottayam,50,34,0
02-Jun-20,Kozhikode,71,32,1
02-Jun-20,Malappuram,129,50,1
02-Jun-20,Palakkad,162,18,0
02-Jun-20,Pathanamthitta,53,21,1
02-Jun-20,Thiruvananthapuram,71,23,3
02-Jun-20,Thrissur,79,19,1
02-Jun-20,Wayanad,37,21,1
03-Jun-20,Alappuzha,66,9,1
03-Jun-20,Ernakulam,60,26,1
03-Jun-20,Idukki,43,25,0
03-Jun-20,Kannur,242,126,2
03-Jun-20,Kasaragod,303,207,0
03-Jun-20,Kollam,78,25,0
03-Jun-20,Kottayam,58,36,0
03-Jun-20,Kozhikode,78,37,1
03-Jun-20,Malappuram,140,50,1
03-Jun-20,Palakkad,167,18,0
03-Jun-20,Pathanamthitta,55,23,1
03-Jun-20,Thiruvananthapuram,85,28,3
03-Jun-20,Thrissur,83,20,1
03-Jun-20,Wayanad,37,21,1
04-Jun-20,Alappuzha,74,9,1
04-Jun-20,Ernakulam,62,26,1
04-Jun-20,Idukki,43,25,0
04-Jun-20,Kannur,248,132,2
04-Jun-20,Kasaragod,315,207,0
04-Jun-20,Kollam,89,25,1
04-Jun-20,Kottayam,63,36,0
04-Jun-20,Kozhikode,88,43,1
04-Jun-20,Malappuram,148,59,2
04-Jun-20,Palakkad,174,30,1
04-Jun-20,Pathanamthitta,69,24,1
04-Jun-20,Thiruvananthapuram,90,29,3
04-Jun-20,Thrissur,87,22,1
04-Jun-20,Wayanad,39,23,1
05-Jun-20,Alappuzha,79,13,1
05-Jun-20,Ernakulam,72,29,1
05-Jun-20,Idukki,46,25,0
05-Jun-20,Kannur,248,132,2
05-Jun-20,Kasaragod,316,215,0
05-Jun-20,Kollam,91,25,1
05-Jun-20,Kottayam,64,36,0
05-Jun-20,Kozhikode,92,43,1
05-Jun-20,Malappuram,166,59,2
05-Jun-20,Palakkad,214,31,1
05-Jun-20,Pathanamthitta,80,24,1
05-Jun-20,Thiruvananthapuram,95,30,3
05-Jun-20,Thrissur,95,28,1
05-Jun-20,Wayanad,42,23,1
06-Jun-20,Alappuzha,83,13,1
06-Jun-20,Ernakulam,75,33,1
06-Jun-20,Idukki,49,26,0
06-Jun-20,Kannur,260,137,2
06-Jun-20,Kasaragod,326,216,0
06-Jun-20,Kollam,110,27,1
06-Jun-20,Kottayam,66,36,0
06-Jun-20,Kozhikode,96,50,1
06-Jun-20,Malappuram,178,59,3
06-Jun-20,Palakkad,225,61,1
06-Jun-20,Pathanamthitta,89,24,1
06-Jun-20,Thiruvananthapuram,98,30,3
06-Jun-20,Thrissur,111,28,1
06-Jun-20,Wayanad,42,23,1
07-Jun-20,Alappuzha,90,16,1
07-Jun-20,Ernakulam,75,33,1
07-Jun-20,Idukki,50,26,0
07-Jun-20,Kannur,262,142,2
07-Jun-20,Kasaragod,329,222,0
07-Jun-20,Kollam,119,30,1
07-Jun-20,Kottayam,69,37,0
07-Jun-20,Kozhikode,102,50,1
07-Jun-20,Malappuram,205,60,3
07-Jun-20,Palakkad,231,68,1
07-Jun-20,Pathanamthitta,102,25,1
07-Jun-20,Thiruvananthapuram,102,31,3
07-Jun-20,Thrissur,137,41,1
07-Jun-20,Wayanad,42,23,1
08-Jun-20,Alappuzha,95,16,1
08-Jun-20,Ernakulam,78,33,1
08-Jun-20,Idukki,50,26,0
08-Jun-20,Kannur,266,142,2
08-Jun-20,Kasaragod,337,229,0
08-Jun-20,Kollam,124,30,1
08-Jun-20,Kottayam,72,37,0
08-Jun-20,Kozhikode,115,50,1
08-Jun-20,Malappuram,219,60,3
08-Jun-20,Palakkad,232,70,1
08-Jun-20,Pathanamthitta,105,25,1
08-Jun-20,Thiruvananthapuram,105,31,3
08-Jun-20,Thrissur,164,41,2
08-Jun-20,Wayanad,44,25,1
09-Jun-20,Alappuzha,106,18,1
09-Jun-20,Ernakulam,82,34,1
09-Jun-20,Idukki,50,27,0
09-Jun-20,Kannur,271,142,2
09-Jun-20,Kasaragod,339,229,0
09-Jun-20,Kollam,129,33,1
09-Jun-20,Kottayam,80,39,0
09-Jun-20,Kozhikode,122,53,1
09-Jun-20,Malappuram,225,60,3
09-Jun-20,Palakkad,246,70,1
09-Jun-20,Pathanamthitta,112,31,1
09-Jun-20,Thiruvananthapuram,115,42,3
09-Jun-20,Thrissur,170,45,2
09-Jun-20,Wayanad,50,26,1
10-Jun-20,Alappuzha,107,25,1
10-Jun-20,Ernakulam,86,36,1
10-Jun-20,Idukki,54,27,0
10-Jun-20,Kannur,275,155,2
10-Jun-20,Kasaragod,339,240,0
10-Jun-20,Kollam,133,37,1
10-Jun-20,Kottayam,83,41,0
10-Jun-20,Kozhikode,132,56,1
10-Jun-20,Malappuram,232,60,3
10-Jun-20,Palakkad,252,70,1
10-Jun-20,Pathanamthitta,115,37,1
10-Jun-20,Thiruvananthapuram,121,45,3
10-Jun-20,Thrissur,179,45,3
10-Jun-20,Wayanad,54,32,1
11-Jun-20,Alappuzha,107,26,1
11-Jun-20,Ernakulam,88,41,1
11-Jun-20,Idukki,54,27,0
11-Jun-20,Kannur,282,160,3
11-Jun-20,Kasaragod,349,246,0
11-Jun-20,Kollam,141,41,1
11-Jun-20,Kottayam,85,41,0
11-Jun-20,Kozhikode,133,61,1
11-Jun-20,Malappuram,242,62,3
11-Jun-20,Palakkad,265,83,1
11-Jun-20,Pathanamthitta,120,38,1
11-Jun-20,Thiruvananthapuram,121,58,3
11-Jun-20,Thrissur,204,52,3
11-Jun-20,Wayanad,54,32,1
12-Jun-20,Alappuzha,120,26,1
12-Jun-20,Ernakulam,93,44,1
12-Jun-20,Idukki,55,31,0
12-Jun-20,Kannur,285,161,4
12-Jun-20,Kasaragod,353,248,0
12-Jun-20,Kollam,145,48,1
12-Jun-20,Kottayam,88,42,0
12-Jun-20,Kozhikode,137,63,1
12-Jun-20,Malappuram,256,62,3
12-Jun-20,Palakkad,270,89,1
12-Jun-20,Pathanamthitta,127,38,1
12-Jun-20,Thiruvananthapuram,122,60,3
12-Jun-20,Thrissur,218,56,3
12-Jun-20,Wayanad,54,32,1
13-Jun-20,Alappuzha,129,26,1
13-Jun-20,Ernakulam,100,44,1
13-Jun-20,Idukki,59,32,0
13-Jun-20,Kannur,299,171,4
13-Jun-20,Kasaragod,362,254,0
13-Jun-20,Kollam,145,48,1
13-Jun-20,Kottayam,89,44,0
13-Jun-20,Kozhikode,149,65,1
13-Jun-20,Malappuram,271,69,3
13-Jun-20,Palakkad,278,98,1
13-Jun-20,Pathanamthitta,128,39,1
13-Jun-20,Thiruvananthapuram,122,64,3
13-Jun-20,Thrissur,222,59,3
13-Jun-20,Wayanad,55,33,1
14-Jun-20,Alappuzha,129,28,1
14-Jun-20,Ernakulam,107,45,1
14-Jun-20,Idukki,61,34,0
14-Jun-20,Kannur,303,173,4
14-Jun-20,Kasaragod,368,255,0
14-Jun-20,Kollam,146,48,1
14-Jun-20,Kottayam,92,46,0
14-Jun-20,Kozhikode,157,66,1
14-Jun-20,Malappuram,274,74,3
14-Jun-20,Palakkad,284,125,1
14-Jun-20,Pathanamthitta,130,39,1
14-Jun-20,Thiruvananthapuram,126,68,3
14-Jun-20,Thrissur,229,67,3
14-Jun-20,Wayanad,56,34,1
15-Jun-20,Alappuzha,134,28,1
15-Jun-20,Ernakulam,120,48,1
15-Jun-20,Idukki,63,34,0
15-Jun-20,Kannur,313,194,4
15-Jun-20,Kasaragod,371,259,0
15-Jun-20,Kollam,150,59,1
15-Jun-20,Kottayam,102,46,0
15-Jun-20,Kozhikode,163,70,1
15-Jun-20,Malappuram,280,84,3
15-Jun-20,Palakkad,291,137,1
15-Jun-20,Pathanamthitta,141,39,1
15-Jun-20,Thiruvananthapuram,127,71,4
15-Jun-20,Thrissur,232,73,3
15-Jun-20,Wayanad,57,34,1
16-Jun-20,Alappuzha,141,33,1
16-Jun-20,Ernakulam,133,49,1
